keyword,volume,kd,intent,source,target_url
aqa past papers,27100,41,Informational,aqa-past-papers,
edexcel maths past papers,14800,30,"Informational, Commercial",edexcel-past-papers,
edexcel past papers,14800,45,Navigational,edexcel-past-papers,
gcse maths past papers,14800,41,"Informational, Commercial",gcse-past-papers,
english language paper 1,14800,27,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/a-level/english-literature/edexcel
aqa periodic table,9900,22,informational,strategy-csv,https://www.past-papers.co.uk/gcse/chemistry/aqa
english language paper 2,9900,33,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/a-level/english-literature/edexcel
english literature paper 1,9900,26,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/a-level/english-literature/edexcel
standard form,9900,44,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/edexcel/number/standard-form
aqa maths past papers,8100,39,"Informational, Commercial",aqa-past-papers,
aqa english language paper 1,8100,34,informational,strategy-csv,https://www.past-papers.co.uk/gcse/english-literature/aqa
english literature,8100,58,informational,strategy-csv,https://www.past-papers.co.uk/a-level/english-literature/edexcel
periodic table a level,8100,25,informational,strategy-csv,https://www.past-papers.co.uk/a-level/chemistry/edexcel
chemistry chemistry chemistry,8100,48,informational,strategy-csv,https://www.past-papers.co.uk/gcse/chemistry
ccea gcse past papers,6600,24,Navigational,gcse-past-papers,
gcse past papers,6600,39,Informational,gcse-past-papers,
ocr past papers,6600,35,"informational, navigational",strategy-csv,https://www.past-papers.co.uk/gcse/maths/ocr
what a prime numbers,6600,50,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/edexcel/number/prime-numbers
my maths maths,6600,41,navigational,strategy-csv,https://www.past-papers.co.uk/gcse/maths
edexcel gcse maths past papers,5400,26,"Informational, Commercial",edexcel-past-papers,
aqa combined science past papers,5400,39,Informational,aqa-past-papers,
a level maths past papers,5400,34,"Informational, Commercial",a-level-past-papers,
biology past papers,5400,40,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/gcse/biology
